comments,sentiments
People can share their views here,positive
Hacking is its main problem,negative
People can steal data of other people,negative
People can use data of other people for negative use,negative
Previts become aware of our whereabouts,negative
Online shopping can be done here,positive
It reduced physical activities,negative
Kids might get affected by inappropriate information on different sites,negative
Few people make negative comments about everything and everyone,negative
One can get stress by arguing with people on social media,negative
Connecting with people has proven health benefits,positive
There are also people who are attached to trolling or arguing about everything from politics to sports,negative
If you do too much keying you may experience problems that affect your hands or wrists,negative
You can get eyestrain from staring at screens for too long,negative
There are innumerable places to get health information online,positive
It is damaging to the mental health of teens,negative
Scrolling through social media can result in symptoms of anxiety,negative
Law enforcement agencies uses social networking sites to catch and prosecute criminals,positive
Voters participation is increasing,positive
You can learn how to improve your products and services,positive
It spreads rumours,negative
It is platform to promote young talent,positive
Scammers use social networking sites to trick people into downloading malicious software,negative
It provides academic research to a wider audience,positive
People access to previously inaccessible educational resources,positive
Professional networking sites greatly assist companies to find job seekers to find work,positive
Social media posts cannot be entirely deleted,negative
Social media can endanger our military,negative
Students get lower grades because of social media addiction,negative
It provides us fun and enjoyment,positive
It also cause procrastination,negative
life become more automatic,positive
social media make people patience less,negative
people behaviour is changed due to social media,negative
spread false news,negative
social media enhance our knowledge about our surrounding,positive
people depend and become addict of social media,negative
people cant spend one second without social media,negative
increase human mantel working and rememberrization,positive
every work is complete in short time due to social media,positive
social media help us to understand condition and circumstances,positive
due to social media or general knowledge increases,positive
social media some time tell us wrong information,negative
social media eradicate our sense of hummer,negative
some family issues also occurs due to privacy issues,negative
cyber crime increases in social media,negative
some respected families face many problems and respect issues,negative
specially girls face many issues,negative
Messaging on social media sites can lead to face-to-face interactions,positive
Social media increases voter participation and facilitates political change,positive
Social media helps reduce loneliness of senior citizens ,positive
safety information during crisis events,positive
social media to help prevent suicide,positive
Social media can help disarm social stigmas like anxiety or depression,positive
Social media can endanger our military journalists and activists,positive
Social media use is associated with personality and brain disorders,negative
Students who are heavy social media users tend to have lower grades,negative
Criminals can use social media to commit and promote crimes,negative
Social media wast many hours that you can’t get back,negative
Advertising practices of social media sites may damage privacy,negative
Real-time news and information discovery,positive
Easy and instant communication,positive
Distraction and procrastination,negative
sleep disruption,"negative	"
people health is effected due to social media,negative
people privacy is destroyed,negative
people awearnace is increase,positive
social media become great source of information,positive
Social Media and its users are getting mature,positive
reputation is threat,negative
Improved Collaboration between Companies,positive
social media become our village as global village,positive
social medial destroy human health,negative
social media connect people,positive
people educate yourself by using social medial,positive
gather people views about any important topic by using social media,positive
advertising our business easily,positive
great source of business,positive
every people has equal status in social sites,positive
increase people visibility,positive
Social media provides academic research,positive
Social media make large group activity,positive
Professional networking slow down unemployment,positive
sharing your ideas and views,negative
wastage of time,negative
help in capturing criminal,positive
Causing Major Relationship Problems,negative
increase brand awareness,positive
people relationship with family is effected due to social media,negative
everything is hands on,positive
social medial become our life fast,positive
way of earning,positive
job information is easily obtained,positive
paper work is slow done,positive
social medial is not protected,negative
eye side problem is increased due to usage of mobile phone,negative
networking traffic is increased,negative
increase friends circle,positive
Opportunities for the rapid assessment,positive
Most economical way to get in touch with someone,positive
Easy to get different opinions on things like surveys,positive
Brings people of same interests together,positive
"It helps advertising you and your brand	",positive
Social networking sites made it easier to find old friends or families as well as making new friend,positive
They allow those who are shy or have trouble making friends to socialize more easily,positive
Best tool for organizing an event,positive
Allows professionals to create a network easily,positive
For actors musicians or writers it is the best tool to promote their work,positive
teach people easily,positive
These sites allow you to send and receive messages upload photos and videos. ,positive
more interactive,positive
Social networking sites lack privacy,negative
Nowadays even school kids join social networking sites resulting in lower grades,negative
They cause users to spend less time outdoors and to be less active,positive
People spend more time online and less time face-to-face,negative
Hacking of your personal account,negative
Posting inappropriate statuses and pictures,negative
It spreads unreal information,negative
They destroy marriages,negative
They allow those with similar interests to connect and converse,positive
They allow professionals to network more easily,positive
They allow businesses and public entities to share information with customers and clients,positive
They allow people to reacquaint with old friends or those who live far away,positive
people learn and implement every thing that is needed,positive
child engage bad habits,negative
late night usage of mobile bad for health,negative
some people upload dirty videos and messy the environment,negative
privacy is not maintain due to social media,negative
people spend too much time in using social sites,negative
people become more social and less emotional,negative
values of man is less due to social media,negative
people become lazy due to social media. ,negative
people become hurry and patience less,negative
cell phone and tablet emit waves that is danger for health,negative
additional cost is required  for cell phone and internet connection,negative
children mostly engrosed in affairs with opposite gender and waste their time,negative
mostly many diseas like eye side problems increases,negative
student waste their most of time on social media,negative
our friend circle increases and  bondings strong,positive
our life style change,negative
bondings between parents and children weaker,negative
students mostly awake late night and cheat with each other that also effected their studies,negative
social media relation not prolonged and they effected their healt,negative
due to social medial affairs  they are mentally disturb,negative
some decent student due to bad use of social media  lost their study potential and fail in exams,negative
social media is not a problem but also creat more problems,negative
waste of time humer common sense is also due to social media,negative
social media also change the understand level of users,positive
due to more advancement in technology many issues like hacking of personal accounts also occurs,negative
multi issues and lot of self esteemed problem is created,negative
social media removes the difference between girls and boys,positive
social media remove gender discriminant,positive
self confidence and skills of the user increases,positive
many strong relationships got prolonged and achieve their destination on social media,positive
almost all the people today avail the advanced opportunities only due to social media,positive
higher education is not required for using social media,positive
to conclude social media solve one problem and create ten more,negative
people behavior is changed due to social media,positive
social media is wastage of time,negative
people ignore their families due to over using social media,negative
social media promote Jealousy,negative
people get bore from family gatherings,negative
Our behaviour with each othre becomes changed due to using social media,negative
we try to spend ore time with our mobiles/labtops instead of parents,negative
we are forgatting our moral values,negative
it is wastage of time,negative
Due to this childerns are distracting from their studies,negative
people are getting mentally sick,negative
Online counseling and forums,positive
Interaction and communication,positive
Unlimited data and research work of scholars,positive
Online shopping and marketing,positive
As a Publishing medium,positive
And social development,positive
Wastage of time  unnecessary negative interactions,negative
More use of software making data insecure,negative
Unauthorized and inauthentic data,negative
has made life easy and helped technology improve,positive
Nonetheless another misuse of the Internet is cyber bullying,negative
Piracy of copyrighted material,negative
Current affairs and incidents can be discovered by the use of internet,positive
Internet brings the world closer,positive
vulgar material is easily be available through internet which destroy the moral values of young boys and girls,negative
Several hours in internet without any purpose produce wrong effects on a person's health,negative
it destroy young students life,negative
it produce mental disorder,negative
Can increase your bussines visibility,positive
Easy and instant information,positive
Seeking a new job,positive
we dont'have to go  universty we can learn things from social media,positive
by sharing new ideas our skills improve,positive
They give us knowledge about the whole world,positive
They informs us about the scocial and political issues,positive
We get entartainment from media by dramas films movie etc,positive
it keep old friends in touch,positive
it make people busy in free time,positive
it give us  knoweledge about currrent issues,positive
it is todays modest way of communication,positive
data is not secure on social media,negative
no privacy on social media,negative
data can be haked by anyone anytime,negative
it reduces sleeping time which causes problems,negative
it reduces intellectuality of todays generation,negative
it grom people,positive
it helps to reduce poverty of the world,positive
any one can learn any thing by it,positive
Keeps us in touch with family and friends who are far awaye,positive
if your sister lives in other part of the world you can connect with them through social media,positive
helps us extend our busines as it provides us a tool to reach our customers we can get feedbacks,positive
It helps us expand our skills,positive
Information spreads very quickly about major issues weather condition,positive
Increase our knowledge there are number of websites and pages related to almost every subject and topic,positive
it helps shy people to connect with the world to give share its own ideas,positive
social media gives us oppertunity to win prizes,positive
Dating is much more simplified,positive
Social media has made indoor gaming cool helps people to relax,positive
Improve your own knowledge and skills as a educator,positive
Information for everyone,positive
Easy way of communication,positive
Interact with family and friends,positive
Causes distractions fro studies,negative
way of Online shopping and marketing,positive
Many  rumors are on social media,negative
each and every news is not verified,negative
Social media is a medium of communication,positive
it provides information,positive
It provides entertainment,positive
It provides learning,positive
Anyone can point out anyone for no reason,negative
people get bore in family gathering,negative
cyber crime is ruining the society,negative
Accounts are not safe,negative
it hepls you to know where world is,positive
quickly photos and ideas can spread online,positive
Source of Income,positive
It helps us find stuff we need,positive
Fake accounts are stimulating,negative
people threatening each other,negative
inforation is not safe on social media,negative
it produce jealouse in people,negative
it is easy to distract from studies,negative
it makes life hollow,negative
free of cost calls,positive
matrimonial sites can provide you with a batter macth,positive
children are forgating their oral values,positive
it keep us updated about any incident all over the world,positive
it is promoting crimes,negative
it is a great source of entertainment,positive
can fild toturials related to every feid,positive
net surffing reducing unemployment,positive
It is a waste of time,negative
it is bad for adults and childrens,negative
any of bussines projects can easily completed with help of this,positive
it provides a plate form for eveylaymen to show his skills,positive
it is Misleading young generation,negative
by this we can do grossery shopping,positive
by this we can buy tickets,positive
by this we can hire tixi to go somewhere,positive
Anxiety is becomming more,negative
bad impact on personal life,negative
reduce sleeping time,negative
we can visit many places of word with help of social media,positive
it helps in social development,positive
mental risk is increasing,negative
Messaging on social media sites can lead to face to face interactions when plans are made via the sites,positive
Social media helps reduce loneliness of senior citizens who are socially isolated,positive
Professional networking sites like LinkedIn greatly assist companies to find personnel and job seekers to find work,positive
Social media allows for quick diffusion of public health and safety information during crisis events,positive
The U S military and the Department of Veterans Affairs use social media to help prevent suicide,positive
Crowdsourcing on social media allows people to attain a goal empowering users to achieve positive change,positive
Social media provides academic research to a wider audience allowing people access to previously inaccessible educational resources,positive
Social media sites can help improve overall well being by providing users with a large social group creating a contagion effect,positive
Social media can exacerbate feelings of disconnect and put children at higher risk for anxiety depression low self esteem eating disorders and even suicide,negative
Social media can be a drain on time and use up hours that you can’t get back,negative
Advertising practices of social media sites may create an invasion of privacy,negative
Social media facilitates sexting which can lead to revenge porn criminal charges and a proliferation of personal images,negative
Social media use can cause personality and brain disorders ADHD and self centered personalities particularly in youth,negative
Contact with family and friends,positive
No loneliness,positive
Social media prodive informations,positive
sharing the opinion,negative
waste of time,negative
kids ignore,negative
Namaz late,negative
Loss of eye sight,negative
No interaction with family,positive
Over long distance communictaion is possible,positive
Too much large filles can not be shared,negative
Books and files and results can be shared in a common group of class,positive
one can find jobs,positive
Speady commnication,positive
Helps in education,positive
Quick diffusion of information,positive
Source of knowledge,positive
Increase in employment,positive
Misuse of Data,negative
Anxiety and Depression,negative
Helpful for business,positive
Invasion of privicy,negative
proliferation of porn industry,positive
cyber crimes,negative
Nearly free,positive
useful for people with disabilities,positive
destruction of Personal skills,negative
Platform To express,positive
Availability,positive
Addiction,negative
spread unrealible statement,negative
criminal use,negative
Instant communication,positive
Best opportunities for business owners,positive
Low cost and effective,positive
Privacy issues,negative
Heavy use of social media can lead to sleep disruption,negative
Fake news or not reliable informations,negative
Early source of news spread,positive
A medium where false unrelible news and information come to seen,negative
Posting inappropriate statuses or pictures,negative
Hacking of personal data,negative
Risk of fraud  or identity,negative
Risk of life style habits,negative
Heavy use of social media making bones injuries,negative
very loss for brain spacially in childern using unfair sites,negative
We have lost beautiful old age relationship,negative
social media can harm job stability,negative
problems of copyright,negative
Loss of property,negative
Good site for dipressed people to enjoy life,positive
Heping with natural disasters and raising the awareness,positive
useful for comman man to increase life quality and to reduce health problems,positive
one can share the problems and opinions,positive
Fully accessable resouce for students,positive
very helpful for lower to upper society problems,positive
The only where the informationis so fast than others,positive
one can take good decisions,positive
A worldwide connectivity,positive
Easiest way of communication,positive
we or government can reduce even finish the criminals cases only with the help of social media,positive
It is plateform where new information discover,positive
it is a plateform which is bringing together,positive
Heplful for job seekers,positive
Any one can send  request to be friends Even we do not like them,negative
one can make new friends,positive
Brings the people with common interests together,positive
Cyberbullying,negative
Brain and personality disorder in teens,negative
An average teen spend 8 hours on social media daily,negative
Blog abou your opinions to express your self innon violent way,positive
Information overwhelm,negative
Social media can lead to offline relationship problems,negative
social media enables cheating on school assignments,negative
one can be famous on social media,positive
childern do not used to play outside they do not involve in society,negative
uneducated can alo use it easily,positive
one can follow somenoe to leanrn and enhnce his knowledge regardless of location background and education without paying for it,positive
one can update him or her self from the happening around him,positive
Most of the people get lazy because excessive use of social networking sites and this has an impact on health due to which the get angry all the time,negative
Bikers doing the crazy stunts jumps over the trains and other life threatening stunts are shared on social media  These stunts are successfully so teenagers performed these stunts,negative
social media is source of knowledge if used positively,positive
one can remains in touch with friends and relatives,positive
one can remains in contact with any relative at any time,positive
with the arrival of social media life is no more private,negative
Every one can interfare into life of others without any restriction,negative
one can groom his or his self using social media,positive
one can have awarness of all the situation arround the earth,positive
Any one can distrub you at any time,negative
A person have to take a lot of safety measures while using social media,negative
It has health hazardous effects,negative
we can get closer to our relatives far away from us but away from those who are living with us,negative
Inspiration,positive
Catters to a big audience,positive
Good for customer services,positive
Nurtures a brand loyalty,positive
Too much misinformations,negative
Generates negative users,negative
No public privacy,negative
Download videos and music,positive
Impersonate,negative
you do not need to learn about social media in school,positive
Receiving support from like minded individuals,positive
Making or receiving advice on career or personal issues,positive
Getting and giving product and service referrals,positive
Social media can also be used for the noble causes For example to promote an NGO social welfare activities and donations for the needy people,positive
Social media can easily ruin someone’s reputation just by creating a false story and spreading across the social media,negative
people start to follow others who are wealthy or drug addicted and share their views and videos on social media,negative
Helps in Building Communities,positive
Stalking people,negative
They destroy marriages by providing covert connections with others that lead to infidelity,negative
Another danger is that scammers use social networking sites to trick people into downloading malicious software,negative
They bring out the nastiest conversation because participants feel anonymous or at least have some distance from those they are insulting,negative
"On a site like Facebook or MySpace,  you can challenge your friend to a game of trivia  even if she's on the other side of the world",positive
Social media helps empower business women,positive
Many sites allow users to create special pages for bands or theatre companies,positive
For actors  musicians or writers it is the best tool to promote their work,positive
Best tool for organizing an event and for mass invitation to an event,positive
A tool to express an individual’s emotions,positive
They allow those who are shy or have trouble making friends to socialize more easily That’s also true for those with disabilities,positive
Social networking sites are the top news source for 27.8% of Americans ranking below newspapers (28.8%) and above radio (18.8%) and print publications (6%),positive
children can also become attached to social media if there is no parental guidance,negative
5th generation war is big example of social media  this war is started from 2018   with the help of social media,negative
Stimulate autonomous learning,positive
Provide the tools for collaborative learning,positive
Builds Credibility,positive
social media play crucial role in business by reducing marketing cost increasing sales etc,positive
it also beneficial in academic growth by allowing students to find variety of material on any topic relating to any feild of life,positive
It also increase students collaboration,positive
Its a rapid source to gain fame by posting different contant common example is YouTube,positive
One can create his or her own Chennal and can run it as one man army,positive
create awareness among the masses,positive
interaction beyond geographic limits is not a deal today,positive
this interaction reduce differences among the nations,positive
increases employment for example online working,positive
helps teachers to increase their productivity through the access to variety of knowledge,positive
helps to improve national image as Pakistan trying to improve its negative image related to terrorism by a compaign to increase tourism through social sites like YouTube,positive
source of intertainment for every category of person,positive
improve personal image,positive
time consuming as people spend more time on social sites tha require,negative
harmful for students as easy way to indulge in crocked activities through adult sites,negative
decreased the mental capabilities of students through easy access to academic material,negative
cyber bullying as recently Indian actress commit suicide because of cyber bullying,negative
source to defame the people through propeganda,negative
easy source to get someone's personal information if account is not private,negative
use of social networking cause personality and brain disorders,negative
increase the risk of anxiety depression through various ways,negative
replace an authentic connection with your true self by making you the pretentious in order to maintain your social profile,negative
decreased self worth through easy and rapid contact,negative
Time saving connections among people,positive
People can spend time talking strangers and know them,positive
People can get information about anything on social networks,positive
People find jobs through social networks,positive
People do business on social media for example book selling or anything other gadgets selling and buying,positive
People get to know about different cultures by talking people of these cultures,positive
Social media reduces people loneliness,positive
Social media helps people in doing there academic research,positive
Social media helps help us to communicate with people more effectively,positive
It helps us to learn about people of other culture and language,positive
Social media is advancing human concepts about techonology,positive
people share experiences and it helps us to learn  thing out of the box,positive
People spend most of their time using social media that is waste,negative
People have privacy threats,negative
Excessive  use makes people lazy,negative
Excessive use makes people less active,negative
People play games on social media instead of go to the ground and play which leads them physical unfitness,negative
wastage of money as people spend more money to buy expensive gadgets to use social media,negative
Social media has  attacked on peoples privacy,negative
Rate of crimes such as hacking and cyber crime has increase,negative
Its now possible to reach any person and judge people,negative
Scams by using different websites has resulted in many financial loss,negative
Nothing is private now,negative
Hate speech in the name of voice opinion has raised a question mark on the communicative role played by social media,negative
Rumors has destroyed lives of people,negative
Reading books is becoming rare due to immense use of social media,negative
It has distracted youth in the form of facebook insta gram and twitter,negative
People are becoming fast and artificial ,positive
 Hence it has decreases distances by creating world a global village but has increase distance from human beings living together ,positive
the popularity of social media have totally changed our lives,positive
where contacts are increased and distances are vanished there the complications are also produced due to it is excessive use,negative
social media websites have a great interference in our personal lives,positive
in 2014 when i got my smartphone with advanced technology having a email web browsing tools and started using it,positive
i realised that i have bounded myself to response the emails and tweets etc no matter what's the time or where i am,negative
with the development of new applications we keep on installing them,positive
these seem interesting and exquisite to us,positive
we think that we are receiving price of our smart devices but at the same time every app brings a new responsibility for us,positive
there come a lot of inboxes,negative
there is present a lot of stuff to see and read,positive
every app have catched our minds,negative
we have started to pay the most part of our attention to the silly and time wasting stuff on the price of ignoring our prime important tasks,negative
social media connects the whole world in which we can share feelings,positive
we can share our pictures and vedios,positive
we can learn the culture and civilization of other countries and relogious,positive
it also provide us huge door to learn the technical and educational skills,positive
we can like the pictures and share our comments,positive
social pages and groups are the fastest soucre to spread news,positive
through social media we can prepare many test live like css and ca,positive
Unavoidable,negative
it is low lost and effective,positive
through this people gets real time feedback,positive
social media is the ideal way to promotes content,positive
easy and instant way of communication,positive
Obsession with social media,negative
Spread of miss,negative
information and bite-sized updates,negative
Causes harm to offline life,negative
Cyber crimes,negative
 rate is high due to social media,negative
Source of unwarranted tention and drama,negative
personal data is not safe on social media,negative
psychological effect,negative
not good for ones emotional haelth,negative
A temporary medium to escape from everydays realities,positive
Fullfills the inherent need to connect with other people,positive
Data revolution,positive
Source of most recent and violent trends,positive
Cathartic,positive
efficient source of marketing,positive
reduce family closeness,negative
facilitates lazyness,negative
diminishes understanding,negative
causes distraction,negative
missing persons are found with social media,positive
promotes social interaction,positive
provide plateform to exchange ideas,positive
build your brnd,positive
make personal connections,positive
if you dont read the newspapers you are uninformed if you do read it you are misinformed social media is as addictive as alcohol nicotine and gambling,negative
right now a family is out to dinner at a restaurant not enjoying each others company but each starring into the screen of their choice completely ignoring family members,negative
it is not that social media is inherantly bad but it is when it get out of balance when someone wake up in the morning & check their phone before they say good morning to the person sleeping next to them this is out of the balance,negative
people feel anxiety when they dont have their phones,negative
social media waste lot of time when people use it,negative
sometimes wrong information are spread on facebook instapages,negative
a person who continously use the social apps like facebook youtube etc he or she become addictive,negative
family gathering mutual discussions are lenened because of the social media people waste their most of time in social apps,negative
teenage young children surf time on social media due to xhich they lack their interest in other work activities,negative
fake ids name use make accounts to disturb others,negative
social media provide a vast platform to contact with people,positive
social media apps like facebook many information pages are there,positive
many people also business on social media apps,positive
to find any relevant person or information people use social apps like facebook instagram etc,positive
social media also provide a platform to share their channels on youtube to get likes,positive
the people are connected socially worldwide,positive
it brings the sense,positive
source of information and updates,positive
it is a tool to learn online,positive
through social media the things change fast,positive
it taking away people from books,negative
people show their talent,positive
through it they sales low quality product,negative
ignores the problem,negative
some people think there is no life without a phone,negative
information that we gets through it is not authentic,negative
it makes the people status concious,negative
it is also cause of distractions,negative
it makes the people emontionless,negative
social media also the cause of death,negative
poeple cheat on each other by using the wrong use of it,negative
it is also cause of relationship issues,negative
there is no privacy between the people,negative
negative impact on children,negative
by social media people gets update about new jobs,positive
businessman improve their business reputation,positive
also the great apportunities for business owners,positive
it help to reduce the loneliness,positive
through social media people gets news about public health and safety information,positive
it decrease the face to face communication,negative
social media reduced the family closeness,negative
people talk to eachother all the time but there is no emotions present in it,negative
It is a best platform to interact with other people.,positive
People can share their thoughts with other people.,positive
People can sort out their many problems on social media.,positive
People having same interests can interact with each other.,positive
People remain update with what is going on in the world.,positive
Celebrities can share their pictures and upcoming events with their fans.,positive
Students and professionals can share files with their colleagues and co-workers.,positive
Groups on social media help to discuss on specific subject.,positive
People can know the authenticated news about political leaders and celebrities from their verified accounts.,positive
People find their source of entertainment through social media.,positive
Social media encourages people to participate in voting.,positive
Social media brings the political change.,positive
Social media helps in reducing loneliness of those people who are lonely in their personal life.,positive
Social media helps in spreading of public health and safety measures during crisis.,positive
Many government departments use social media to help in reducing crime.,positive
Social media posts cannot be entirely deleted.,negative
Social media can be proved dangerous for our military people by hacking their accounts.,negative
Excessive use of social media causes mental disorders.,negative
Students who use more social media have more chances to get lower grades.,negative
Social media can put children at higher risk for depression and even suicide.,negative
It is a wastage of time.,negative
People get distraction during their work due to social media.,negative
It is the main source of spreading un-authenticated news.,negative
Most of the time it conveys wrong information to people.,negative
It plays main role in spreading cybercrime.,negative
Un-necessary conversations on political issues which lead to disputes.,negative
People start to begin comparing their life with others life which leads to inferior complexity.,negative
It increases the chances of leaking peoples personal data.,negative
It destroys personal life of its users.,negative
Frequently use of social media increases the use of electronic devices which is harmful to human health.,negative
Social media increases voter participation and facilitates political change.,positive
Social media helps reduce loneliness of senior citizens who are socially isolated.,positive
People become more informed about current affairs.,positive
It helps teens with disabilities interact at the same level with others.,positive
Teens with disabilities can become a target of hatred and shame by their fellows.,negative
It leads to disclosing of confidential information.,negative
It helps us in continuous learning about our interest.,positive
Students can get involved in criminal activities if they do not avoid wrong people on social media.,negative
Any wrong use of social media can harm our personal life.,negative
Any wrong use can negatively affect our academic abilities and performance.,negative
Young generation get their moral values destroyed.,negative
Social media has brought revolution the business marketing and industry.,positive
It allows interaction and sharing knowledge with professionals at any general or specific subject.,positive
Professional websites provide facility to companies to advertise the vacancies and job offers.,positive
Professional websites allows people to find jobs and work.,positive
Criminals use social media to commit crimes.,negative
Social media causes deaths by following the stunts and tricks shared on the internet.,negative
People start to be inspired by rich drug addicts and criminals and follow them.,negative
People post inappropriate pictures on social media.,negative
Low marketing is possible through social networks.,positive
It helps in increasing people's confidence.,positive
It is the main source of spreading rumors.,negative
Social media spreads awareness about daily life of people.,positive
It chnages the way people live.,positive
Students can learn from the content published on educational websites.,positive
Most of the brands get name in the industry through their social networks.,positive
Police departments are starting to investigate and control crimes on social media networks.,positive
Social media allows people to express voice regarding their politics views.,positive
Secret agencies get help in finding secrets.,positive
People are able to contact with friends and relatives from other countries without wasting money.,positive
It decreases the power of learning and understanding.,negative
Social media use can cause personality disorders mainly in young people.,negative
It is easier to access information and spread it through social media.,positive
Social media promotes the building relationships for students with other students of different universities.,positive
Young generation is the one who is most affected by addiction and harmness of social media.,negative
Many people get fooled by wrong people on social media.,negative
Many news are spread over social media in a wrong meaning.,negative
Social media can destroy someones personal life by creating and spreading the fake news about him/her.,negative
Social websites make it easy to search and buy any thing online.,positive
Businesses can get down in market due to fake news about it conveyed over social media.,negative
Social media can convey the wrong message between people.,negative
Social media facilitates the people with wrong activities which can lead them to jail.,negative
Important information can spread on social websites within some seconds.,positive
People lose face to face connection with their friends.,negative
It can convey wrong meaning of feelings.,negative
Social media provides the facilities for employment.,positive
Social media is one of the biggest factor which causes depression amongest people.,negative
Children get poor growth both physically and mentally due to use of internet and social media.,negative
Sleeping time of people is greatly affected due to social media.,negative
People waste their time on social media which they have to spend in studying and physical activities.,negative
Social websites are used to promote brands.,positive
Social media can help in reducing people's depression and loneliness.,positive
It reduces closeness and emotional connection between family.,negative
People detach themselves from family and friends.,negative
Students can learn the whole course online by contacting with professors on social websites.,positive
People get obsessed with social media activities and people on them.,negative
Social media promotes conversations and debates among people.,positive
It allows people specially students to access the educational resources.,positive
Social media sites help in improving overall life style by providing people with a social club.,positive
People are now able to carry out researches on a particular topic and then publish it in the logs.,positive
Students can enhance their knowledge by reading articles written by professors.,positive
Social media has greatly succeeded in disconnecting people from each other.,negative
People can plan their trips and invite people from the whole country through social media.,positive
Misleading  and wrong content on social media can bring the people to crimial charges.,negative
